Индекс,Среднее,Стандартное отклонение,Медиана
NDVI,67.09597627950176,47.811340463780446,57.7479230188257
SAVI,42.77223401415349,29.81429458471424,35.727348763308214
SWIR,252.80486644803324,5.669964212343375,254.98033027912723
